,species,countryCode,decimalLatitude,decimalLongitude,year
181,Lithobates catesbeianus,KR,34.891133,127.533019,2010.0
182,Lithobates catesbeianus,KR,34.797583,127.465047,2010.0
183,Lithobates catesbeianus,KR,34.799459,127.023827,2010.0
184,Lithobates catesbeianus,KR,35.506808,126.535594,2013.0
185,Lithobates catesbeianus,KR,35.465767,127.550667,2013.0
186,Lithobates catesbeianus,KR,35.390286,127.284628,2013.0
187,Lithobates catesbeianus,KR,34.786917,127.451658,2010.0
188,Lithobates catesbeianus,KR,34.767581,127.181031,2010.0
189,Lithobates catesbeianus,KR,34.932067,127.175192,2010.0
190,Lithobates catesbeianus,KR,35.350368,129.146536,2008.0
191,Lithobates catesbeianus,KR,35.269221,128.239851,2008.0
192,Lithobates catesbeianus,KR,35.168109,128.893254,2008.0
193,Lithobates catesbeianus,KR,35.30223,128.479483,2008.0
194,Lithobates catesbeianus,KR,35.338782,128.549754,2008.0
195,Lithobates catesbeianus,KR,35.227963,128.96758,2008.0
196,Lithobates catesbeianus,KR,35.329231,129.090929,2008.0
197,Lithobates catesbeianus,KR,35.446436,128.512673,2008.0
198,Lithobates catesbeianus,KR,35.299457,129.192143,2008.0
199,Lithobates catesbeianus,KR,35.423578,128.612276,2008.0
200,Lithobates catesbeianus,KR,35.32856,128.520951,2008.0
201,Lithobates catesbeianus,KR,35.290263,129.140898,2008.0
202,Lithobates catesbeianus,KR,35.430438,128.488564,2008.0
203,Lithobates catesbeianus,KR,35.383747,128.276722,2008.0
204,Lithobates catesbeianus,KR,35.436992,128.392767,2008.0
205,Lithobates catesbeianus,KR,35.412439,128.437569,2008.0
206,Lithobates catesbeianus,KR,35.427189,128.627552,2008.0
207,Lithobates catesbeianus,KR,35.239156,128.837064,2008.0
208,Lithobates catesbeianus,KR,35.217047,128.840452,2008.0
209,Lithobates catesbeianus,KR,35.326421,128.34705,2008.0
210,Lithobates catesbeianus,KR,35.209188,128.94461,2008.0
211,Lithobates catesbeianus,KR,35.364222,128.332551,2008.0
212,Lithobates catesbeianus,KR,36.665863,128.352783,2008.0
213,Lithobates catesbeianus,KR,35.201135,128.651593,2008.0
214,Lithobates catesbeianus,KR,36.527501,127.411565,2008.0
215,Lithobates catesbeianus,KR,35.342897,129.267858,2008.0
216,Lithobates catesbeianus,KR,35.472695,128.212134,2008.0
217,Lithobates catesbeianus,KR,35.637335,129.098454,2007.0
218,Lithobates catesbeianus,KR,35.733158,129.185584,2007.0
219,Lithobates catesbeianus,KR,35.690858,129.207499,2007.0
220,Lithobates catesbeianus,KR,35.63267,129.220415,2007.0
221,Lithobates catesbeianus,KR,35.504684,129.234388,2007.0
222,Lithobates catesbeianus,KR,35.668135,128.783258,2007.0
223,Lithobates catesbeianus,KR,35.532151,128.798092,2007.0
224,Lithobates catesbeianus,KR,35.694104,128.658075,2007.0
225,Lithobates catesbeianus,KR,35.565729,128.60733,2007.0
226,Lithobates catesbeianus,KR,35.344975,126.965112,2007.0
227,Lithobates catesbeianus,KR,35.35205,127.27531,2007.0
228,Lithobates catesbeianus,KR,35.274698,127.194012,2007.0
229,Lithobates catesbeianus,KR,35.412395,126.515473,2007.0
230,Lithobates catesbeianus,KR,35.493034,126.67567,2007.0
231,Lithobates catesbeianus,KR,35.418865,126.692141,2007.0
232,Lithobates catesbeianus,KR,35.360282,126.613474,2007.0
233,Lithobates catesbeianus,KR,35.369559,126.676612,2007.0
234,Lithobates catesbeianus,KR,35.379978,126.694613,2007.0
235,Lithobates catesbeianus,KR,35.399202,126.517418,2007.0
236,Lithobates catesbeianus,KR,35.276503,126.665167,2007.0
237,Lithobates catesbeianus,KR,35.397424,126.466583,2007.0
238,Lithobates catesbeianus,KR,36.8256,126.412374,2006.0
239,Lithobates catesbeianus,KR,35.534729,128.119679,2006.0
240,Lithobates catesbeianus,KR,35.518868,127.784792,2006.0
241,Lithobates catesbeianus,KR,35.566079,126.776269,2006.0
242,Lithobates catesbeianus,KR,35.722174,126.961807,2006.0
243,Lithobates catesbeianus,KR,35.606862,126.487335,2006.0
244,Lithobates catesbeianus,KR,36.055099,129.134859,2005.0
245,Lithobates catesbeianus,KR,35.887266,129.076754,2005.0
246,Lithobates catesbeianus,KR,35.953194,129.075624,2005.0
247,Lithobates catesbeianus,KR,35.941277,128.936816,2005.0
248,Lithobates catesbeianus,KR,35.278243,128.504547,2005.0
249,Lithobates catesbeianus,KR,35.352066,128.48893,2005.0
250,Lithobates catesbeianus,KR,35.345802,128.429213,2005.0
251,Lithobates catesbeianus,KR,34.995581,126.433749,2005.0
252,Lithobates catesbeianus,KR,34.985742,126.673932,2005.0
253,Lithobates catesbeianus,KR,35.769641,127.213886,2005.0
254,Lithobates catesbeianus,KR,35.751236,126.803513,2005.0
255,Lithobates catesbeianus,KR,37.050073,127.573908,
256,Lithobates catesbeianus,KR,35.366954,128.903099,2003.0
257,Lithobates catesbeianus,KR,35.44649,128.885162,2003.0
258,Lithobates catesbeianus,KR,35.441892,129.265495,2002.0
259,Lithobates catesbeianus,KR,35.600452,129.070296,2003.0
260,Lithobates catesbeianus,KR,35.467306,129.241496,2002.0
261,Lithobates catesbeianus,KR,35.756463,129.045458,2003.0
262,Lithobates catesbeianus,KR,35.883283,129.045075,2003.0
263,Lithobates catesbeianus,KR,35.768832,128.975998,2003.0
264,Lithobates catesbeianus,KR,36.015655,129.075407,2003.0
265,Lithobates catesbeianus,KR,35.063629,128.186814,1999.0
266,Lithobates catesbeianus,KR,35.125181,128.167831,1999.0
267,Lithobates catesbeianus,KR,34.995583,126.7555,2009.0
268,Lithobates catesbeianus,KR,34.977583,126.799583,2009.0
269,Lithobates catesbeianus,KR,34.850472,126.577333,2009.0
270,Lithobates catesbeianus,KR,35.033444,126.264389,2009.0
271,Lithobates catesbeianus,KR,35.14125,126.342306,2009.0
272,Lithobates catesbeianus,KR,35.019056,126.40575,2009.0
273,Lithobates catesbeianus,KR,35.226556,126.393583,2009.0
274,Lithobates catesbeianus,KR,35.189694,126.392278,2009.0
275,Lithobates catesbeianus,KR,35.054306,126.306083,2009.0
276,Lithobates catesbeianus,KR,35.033806,126.506306,2009.0
277,Lithobates catesbeianus,KR,36.486444,126.561695,2009.0
278,Lithobates catesbeianus,KR,34.750833,126.478772,2009.0
279,Lithobates catesbeianus,KR,34.921356,126.340789,2009.0
280,Lithobates catesbeianus,KR,34.921806,126.334195,2009.0
281,Lithobates catesbeianus,KR,34.955583,126.414117,2009.0
282,Lithobates catesbeianus,KR,36.320694,128.061861,2009.0
283,Lithobates catesbeianus,KR,35.983889,127.7825,2012.0
284,Lithobates catesbeianus,KR,34.377269,126.503808,2012.0
285,Lithobates catesbeianus,KR,35.8934,128.696069,2012.0
286,Lithobates catesbeianus,KR,37.025567,127.063339,2011.0
287,Lithobates catesbeianus,KR,36.056139,128.256167,2011.0
288,Lithobates catesbeianus,KR,36.239083,128.312111,2011.0
289,Lithobates catesbeianus,KR,35.823889,126.849167,2011.0
290,Lithobates catesbeianus,KR,35.8425,126.747222,2011.0
291,Lithobates catesbeianus,KR,35.888056,126.8075,2011.0
292,Lithobates catesbeianus,KR,35.973056,126.843889,2011.0
293,Lithobates catesbeianus,KR,35.934722,126.6525,2011.0
294,Lithobates catesbeianus,KR,35.968056,126.649444,2011.0
295,Lithobates catesbeianus,KR,34.428019,126.840119,2011.0
296,Lithobates catesbeianus,KR,35.892031,126.622967,2011.0
297,Lithobates catesbeianus,KR,35.92935,126.615933,2011.0
298,Lithobates catesbeianus,KR,35.980711,127.186936,2011.0
299,Lithobates catesbeianus,KR,36.078078,129.022719,2011.0
300,Lithobates catesbeianus,KR,36.330556,128.844444,2010.0
301,Lithobates catesbeianus,KR,36.330556,128.765278,2010.0
302,Lithobates catesbeianus,KR,36.069556,127.535694,2010.0
303,Lithobates catesbeianus,KR,36.136833,127.38075,2010.0
304,Lithobates catesbeianus,KR,36.242908,127.099294,2010.0
305,Lithobates catesbeianus,KR,36.234584,127.026217,2010.0
306,Lithobates catesbeianus,KR,36.029261,126.814467,2010.0
307,Lithobates catesbeianus,KR,36.100303,126.812669,2010.0
308,Lithobates catesbeianus,KR,36.159628,126.88465,2010.0
309,Lithobates catesbeianus,KR,36.205228,126.779014,2010.0
310,Lithobates catesbeianus,KR,36.107744,126.635294,2010.0
311,Lithobates catesbeianus,KR,35.029571,128.157773,2010.0
312,Lithobates catesbeianus,KR,35.218881,128.236878,2010.0
313,Lithobates catesbeianus,KR,34.785275,127.57345,2010.0
314,Lithobates catesbeianus,KR,34.771225,127.381144,2010.0
315,Lithobates catesbeianus,KR,34.867869,127.161592,2010.0
